Temperature (°C),Weight (Kg),On/off
14.812,7.992804187,
14.75,8.019361902,
14.812,8.045167656,
14.75,8.016333668,
14.75,8.013128804,
14.75,8.006895864,
14.75,8.011246533,
14.75,8.024042076,
14.75,8.018554871,
14.75,8.011566564,
14.75,7.997790958,
14.687,8.012445191,
14.687,8.018896576,
14.687,8.014660501,
14.687,8.001693574,
14.687,7.992502215,
14.687,8.011181992,
14.687,8.00009607,
14.687,8.015403812,
14.687,8.021940041,
14.625,8.000297298,
14.625,8.009923878,
14.625,8.007903677,
14.625,8.014054057,
14.625,8.014308915,
14.625,8.013838646,
14.625,8.030121432,
14.625,8.005867259,
14.625,8.027457263,
14.625,8.014316981,
14.562,8.001887668,
14.562,8.020025854,
14.562,8.000519794,
14.562,7.998879178,
14.562,8.002956043,
14.562,7.996217314,
14.562,8.00313585,
14.562,8.004490733,
14.562,8.010421498,
14.5,7.998540501,
14.562,8.012551967,
14.5,8.005830072,
14.5,8.043240306,
14.5,8.037805095,
14.5,8.036049122,
14.5,8.014282203,
14.5,8.010056247,
14.437,7.999570747,
14.5,8.026803439,
14.437,7.999900936,
14.437,8.018359036,
14.437,8.022105758,
14.437,8.010871023,
14.437,8.01838983,
14.437,8.011793977,
14.437,8.006355233,
14.437,8.002954904,
14.437,8.003616704,
14.437,8.012391312,
14.437,8.019530572,
14.437,8.004687798,
14.437,8.001688785,
14.437,7.997111627,
14.375,8.001862105,
14.375,8.006380701,
14.375,8.015426513,
14.375,8.001673418,
14.375,8.004855042,
14.375,8.008898945,
14.375,8.018169683,
14.375,8.025563695,
14.375,8.026229596,
14.312,8.016923137,
14.375,8.014685447,
14.312,8.019310513,
14.375,8.021022593,
14.312,8.021252231,
14.312,8.026370294,
14.375,8.013482471,
14.312,8.012230088,
14.312,8.000346557,
14.312,8.013585123,
14.312,8.006046381,
14.312,8.007694913,
14.312,8.021413949,
14.312,8.023335001,
14.312,8.0090976,
14.312,8.021281718,
14.312,8.019759474,
14.312,8.003937376,
14.312,8.013547669,
14.312,7.993690063,
14.312,8.018951649,
14.312,7.991664147,
14.312,8.004315215,
14.312,8.011569379,
14.312,7.997783159,
14.312,8.001962757,
14.312,8.004368643,
14.312,8.003368367,
14.312,8.008477739,
14.375,7.992549652,
14.375,7.986130748,
14.375,7.980624633,
14.375,7.996493106,
14.375,7.98724077,
14.375,7.996434958,
14.375,8.012645641,
14.437,8.001257343,
14.437,8.004629603,
14.437,7.995767747,
14.5,8.014169707,
14.5,8.008720753,
14.562,8.016069075,
14.562,8.017792381,
14.562,8.011392259,
14.625,8.025653542,
14.687,8.010210933,
14.687,8.033025439,
14.75,8.019454554,
14.812,8.021270715,
14.875,8.017400026,
14.937,8.014148167,
15,8.022336792,
15.062,8.022868351,
15.125,8.017430986,
15.187,8.021822083,
15.25,8.0240277,
15.312,8.030925196,
15.312,8.028061095,
15.375,8.016918586,
15.375,8.018939375,
15.437,8.018083691,
15.437,8.01463563,
15.5,8.027697599,
15.5,8.027258456,
15.562,8.022878778,
15.562,8.018348658,
15.562,8.013228583,
15.562,8.022118653,
15.625,8.016889722,
15.625,8.0295692,
15.562,8.024160425,
15.562,8.015588438,
15.562,8.033953096,
15.562,8.029720448,
15.562,8.040316237,
15.625,8.03454784,
15.562,8.034964434,
15.562,8.038200528,
15.562,8.029557225,
15.562,8.034602674,
15.562,8.04393453,
15.562,8.040422621,
15.562,8.039184746,
15.562,8.045619612,
15.562,8.048753373,
15.562,8.038262027,
15.562,8.038403215,
15.562,8.045341207,
15.562,8.043722284,
15.562,8.032417554,
15.562,8.043952042,
15.562,8.031291539,
15.562,8.03584778,
15.562,8.042585521,
15.562,8.038997851,
15.562,8.038433651,
15.562,8.04816113,
15.562,8.026297855,
15.562,8.030135486,
15.562,8.02426752,
15.562,8.028235174,
15.562,8.036234723,
15.5,8.043184215,
15.562,8.038083101,
15.562,8.034364277,
15.5,8.051947108,
15.562,8.051393138,
15.562,8.051618711,
15.5,8.046901677,
15.562,8.033233521,
15.5,8.048439263,
15.5,8.075875443,
15.562,8.037895395,
15.562,8.043065246,
15.5,8.070132079,
15.5,8.041775442,
15.562,8.041950527,
15.5,8.046339753,
15.5,8.036105325,
15.562,8.038291351,
15.5,8.026681695,
15.5,8.031348418,
15.5,8.038070455,
15.5,8.039903534,
15.5,8.028653951,
15.5,8.029417385,
15.5,8.029988332,
15.5,8.021591141,
15.5,8.033514105,
15.5,8.036926602,
15.5,8.022362022,
15.5,8.024378127,
15.5,8.025015648,
15.5,8.02862724,
15.5,8.022708998,
15.5,8.02900334,
15.5,8.028789609,
15.5,8.018531032,
15.5,8.022244092,
15.5,8.036553005,
15.437,8.032307002,
15.5,8.021327653,
15.5,8.038764147,
15.5,8.03608275,
15.5,8.030733852,
15.5,8.020260847,
15.437,8.028703235,
15.5,8.027822122,
15.5,8.02222799,
15.437,8.02610972,
15.5,8.012857049,
15.437,8.015996387,
15.5,8.029239211,
15.437,8.025967988,
15.437,8.015885171,
15.437,8.021298373,
15.437,8.009548391,
15.437,8.016937826,
15.437,8.018534364,
15.437,8.0154632,
15.437,8.029011635,
15.437,8.0125348,
15.437,8.017878229,
15.437,8.050268345,
15.437,8.039905459,
15.437,8.023573251,
15.437,8.030111842,
15.437,8.035638527,
15.437,8.046880729,
15.437,8.062187646,
15.437,8.044829869,
15.437,8.042661767,
15.437,8.046542665,
15.437,8.043136431,
15.437,8.034334081,
15.437,8.031035003,
15.437,8.025712144,
15.437,8.029369961,
15.437,8.027245885,
15.437,8.040355616,
15.437,8.032502962,
15.375,8.037198964,
15.437,8.030968115,
15.437,8.035990458,
15.437,8.029555478,
15.437,8.039122769,
15.437,8.024171373,
15.437,8.036651545,
15.437,8.035772591,
15.375,8.039781385,
15.375,8.050081843,
15.375,8.044930594,
15.437,8.045565118,
15.375,8.03397294,
15.375,8.047031125,
15.375,8.031730215,
15.375,8.025451324,
15.375,8.03573745,
15.375,8.042744813,
15.375,8.051824209,
15.375,8.068908312,
15.375,8.038184936,
15.375,8.027333182,
15.375,8.043369982,
15.375,8.070439341,
15.375,8.057514911,
15.375,8.033188759,
15.375,8.029287804,
15.375,8.023838184,
15.375,8.043769263,
15.375,8.032786573,
15.375,8.041452987,
15.375,8.047634263,
15.375,8.035957272,
15.375,8.036715028,
15.312,8.026973863,
15.375,8.034798905,
15.312,8.037634148,
15.375,8.029833464,
15.312,8.043026372,
15.375,8.047899335,
15.312,8.038134017,
15.312,8.033898701,
15.375,8.045991399,
15.312,8.048949725,
15.312,8.054060041,
15.312,8.051896698,
15.312,8.054390793,
15.312,8.060143671,
15.312,8.043308342,
15.312,8.066112351,
15.312,8.061636171,
15.312,8.062868121,
15.312,8.064051853,
15.312,8.058165026,
15.312,8.050979503,
15.312,8.047660377,
15.312,8.056433234,
15.25,8.057710235,
15.312,8.061797184,
15.25,8.045859394,
15.312,8.053128751,
15.25,8.050529761,
15.312,8.05485585,
15.25,8.057168447,
15.25,8.062475383,
15.25,8.044836398,
15.25,8.040739363,
15.25,8.044379551,
15.25,8.028565518,
15.25,8.062424439,
15.25,8.051315391,
15.25,8.047377231,
15.25,8.048011765,
15.25,8.038339173,
15.25,8.039289345,
15.25,8.035945611,
15.25,8.047015838,
15.187,8.047541003,
15.25,8.039464459,
15.187,8.054539114,
15.25,8.044153434,
15.187,8.040490158,
15.187,8.035244443,
15.187,8.034137627,
15.187,8.036534521,
15.187,8.03201051,
15.187,8.039128303,
15.187,8.035116491,
15.187,8.037021729,
15.187,8.028644496,
15.187,8.030856311,
15.187,8.032209707,
15.187,8.026380291,
15.187,8.036855269,
15.187,8.032238222,
15.187,8.034339442,
15.187,8.035521862,
15.125,8.036190964,
15.187,8.030113855,
15.125,8.035699736,
15.125,8.039124778,
15.125,8.043280938,
15.125,8.045332261,
15.125,8.036440625,
15.125,8.045191588,
15.125,8.039163725,
15.125,8.043520272,
15.125,8.037056378,
15.125,8.035128551,
15.062,8.02939244,
15.062,8.032034183,
15.125,8.023772467,
15.062,8.028024873,
15.125,8.029517562,
15.062,8.024950594,
15.062,8.017549141,
15.062,8.011199705,
15.062,8.029882189,
15.062,8.036925997,
15.062,8.01710811,
15.062,8.039857511,
15.062,8.019791334,
15.062,8.027553408,
15.062,8.032278433,
15.062,8.033802578,
15.062,8.02745985,
15.062,8.018222961,
15,8.03742746,
15,8.028672621,
15.062,8.035275267,
15,8.039912651,
15,8.025881623,
15,8.042397931,
15,8.041065137,
15,8.029262716,
15,8.045761303,
15,8.026621321,
15,8.022789438,
15,8.032625342,
15,8.020977314,
15,8.024034539,
15,8.030885178,
15,8.035544065,
15,8.027730462,
15,8.029161717,
15,8.015109269,
15,8.020387093,
15,8.032266408,
15,8.018720777,
15,8.017763575,
14.937,8.008727053,
15,8.005109244,
14.937,8.011760071,
14.937,8.01704031,
14.937,8.044671705,
14.937,8.015236809,
14.937,8.000531543,
14.937,8.020155564,
14.937,8.023173476,
14.937,8.016172981,
14.937,8.014103249,
14.937,8.020428771,
14.937,8.023338977,
14.937,8.050745146,
14.937,8.062117,
14.937,8.027437693,
14.937,8.022667648,
14.937,8.020891714,
14.937,8.015350382,
14.937,8.03155708,
14.937,8.010675426,
14.937,8.018719979,
14.937,8.027252629,
14.937,8.049599916,
14.937,8.059826824,
14.937,8.04958614,
14.937,8.048025191,
15,8.056896487,
15,8.064163515,
15,8.059801022,
15,8.057831168,
15,8.054543135,
15,8.051078622,
15,8.049434124,
15,8.025080691,
15,8.033508412,
15.062,8.041736229,
15.062,8.048818502,
15.062,8.038062485,
15.062,8.026204715,
15.125,8.043155909,
15.125,8.048795872,
15.187,8.051261433,
15.187,8.052799602,
15.187,8.024265723,
15.25,8.027895514,
15.25,8.015031245,
15.312,8.03341747,
15.312,8.02164009,
15.375,8.016268915,
15.375,8.017855336,
15.375,8.021976468,
15.375,8.036345239,
15.375,8.019687694,
15.375,8.033374655,
15.437,8.018509589,
15.437,8.038628229,
15.375,8.032977374,
15.375,8.009874771,
15.375,7.974425184,
15.375,8.040804087,
15.375,8.058066793,
15.375,8.03710827,
15.375,8.038968159,
15.375,8.048325456,
15.375,8.039896423,
15.375,8.023638738,
15.375,8.020155082,
15.375,7.996207822,
15.375,8.019760125,
15.375,8.055018434,
15.375,8.056950103,
15.375,8.054380487,
15.375,8.061315196,
15.375,8.050387314,
15.375,8.069103588,
15.375,8.05564404,
15.375,8.052723666,
15.375,8.076761394,
15.375,8.053569327,
15.312,8.021439906,
15.375,8.018172297,
15.375,8.028946438,
15.312,8.026435864,
15.375,8.053397723,
15.312,8.019356,
15.312,8.009884094,
15.312,8.013919313,
15.375,8.025045606,
15.375,8.032895225,
15.312,8.014612786,
15.312,8.007961101,
15.312,8.011585542,
15.312,8.023724737,
15.312,7.991526603,
15.312,8.001384128,
15.312,8.0267872,
15.312,8.012843329,
15.312,8.006216019,
15.312,8.020820587,
15.312,8.003202673,
15.312,8.009293198,
15.312,8.002142001,
15.312,8.013490464,
15.312,8.0223275,
15.312,8.014388304,
15.312,8.004958878,
15.312,8.011228388,
15.312,8.015753907,
15.312,8.015255918,
15.312,8.029169444,
15.312,8.005692152,
15.312,8.014507439,
15.312,8.00720362,
15.312,8.040393485,
15.312,8.053057235,
15.312,8.006286797,
15.312,8.010082602,
15.312,8.007465049,
15.312,8.002795511,
15.25,7.992789924,
15.312,8.005003728,
15.312,8.000953141,
15.312,8.004198522,
15.312,8.002741041,
15.25,8.017411363,
15.25,8.020825666,
15.25,8.042355359,
15.312,8.101409881,
15.25,8.093535422,
15.25,8.108294635,
15.25,8.143143039,
15.25,8.13029216,
15.25,8.092758245,
15.25,8.109332284,
15.25,8.098520246,
15.25,8.113791046,
15.25,8.100658563,
15.25,8.092587734,
15.25,8.088384352,
15.25,8.112565892,
15.25,8.105831074,
15.25,8.096743476,
15.25,8.098379963,
15.25,8.101745807,
15.25,8.099712519,
15.25,8.104359104,
15.25,8.095209256,
15.25,8.100421897,
15.25,8.10908819,
15.25,8.098043121,
15.25,8.103944359,
15.25,8.093277614,
15.25,8.096787325,
15.25,8.103853241,
15.25,8.084781596,
15.25,8.090765649,
15.25,8.095447016,
15.187,8.096031641,
15.25,8.109721692,
15.187,8.089536917,
15.187,8.106331085,
15.25,8.10314708,
15.25,8.085267531,
15.187,8.095327288,
15.187,8.083105236,
15.25,8.089267658,
15.187,8.092692253,
15.187,8.102634922,
15.187,8.095940112,
15.187,8.100063499,
15.187,8.101946541,
15.187,8.09513701,
15.187,8.09224603,
15.187,8.089511324,
15.187,8.094447901,
15.187,8.083617079,
15.187,8.098538521,
15.187,8.094844128,
15.187,8.087505241,
15.187,8.09913767,
15.187,8.102289001,
15.187,8.096272755,
15.187,8.093338285,
15.187,8.09535395,
15.187,8.104890526,
15.187,8.10150161,
15.187,8.089627092,
15.187,8.095216334,
15.187,8.097436704,
15.187,8.097754481,
15.187,8.100699125,
15.187,8.088451546,
15.187,8.086011102,
15.187,8.084864934,
15.187,8.067030946,
15.187,8.08208234,
15.187,8.074069024,
15.125,8.084585178,
15.187,8.085403205,
15.187,8.076656726,
15.187,8.077719764,
15.187,8.078826276,
15.125,8.085230128,
15.187,8.082237589,
15.125,8.075023688,
15.125,8.091517631,
15.187,8.077191607,
15.187,8.092791083,
15.187,8.077799787,
15.187,8.072397027,
15.187,8.077135522,
15.125,8.094138529,
15.125,8.068674629,
15.125,8.084506883,
15.125,8.076637377,
15.125,8.071436858,
15.125,8.070465945,
15.187,8.059221447,
15.125,8.077367873,
15.125,8.083091043,
15.125,8.085902077,
15.125,8.091252308,
15.125,8.083531531,
15.125,8.096073132,
15.125,8.081987668,
15.125,8.072779173,
15.125,8.077594205,
15.125,8.069610086,
15.125,8.077241608,
15.125,8.071467846,
15.125,8.077839064,
15.125,8.073484377,
15.125,8.06263087,
15.125,8.068274409,
15.125,8.069034637,
15.125,8.057397886,
15.125,8.078014971,
15.125,8.068212782,
15.125,8.062062759,
15.125,8.068959453,
15.125,8.078283587,
15.125,8.057562156,
15.125,8.072022071,
15.125,8.063518817,
15.125,8.06063682,
15.125,8.074229154,
15.125,8.052807004,
15.125,8.065854296,
15.125,8.050260683,
15.062,8.0574583,
15.062,8.043571387,
15.125,8.050714276,
15.125,8.044141793,
15.062,8.054515524,
15.125,8.070650928,
15.062,8.057739862,
15.062,8.052695814,
15.062,8.048105677,
15.062,8.053140243,
15.062,8.055816556,
15.062,8.048093869,
15.062,8.038141596,
15.062,8.046147074,
15.062,8.059470931,
15.062,8.054605321,
15.062,8.056719666,
15.062,8.043316326,
15.062,8.049298128,
15.062,8.048560775,
15.062,8.037899617,
15.062,8.025930864,
15.062,8.038010429,
15.062,8.030014378,
15.062,8.035346871,
15.062,8.035990633,
15.062,8.022630792,
15.062,8.025942622,
15.062,8.036506283,
15.062,8.025948261,
15.062,8.025711407,
15.062,8.039981791,
15.062,8.049049622,
15.062,8.042944817,
15.062,8.039130543,
15.062,8.032453947,
15.062,8.030805605,
15.062,8.034036114,
15.062,8.036617343,
15.062,8.029325911,
15.062,8.041742831,
15.062,8.033101176,
15.062,8.045727289,
15.062,8.024685166,
15.062,8.018422366,
15.062,8.026546012,
15.062,8.032416744,
15.062,8.036270733,
15.062,8.028995943,
15.062,8.011669623,
15,8.016604987,
15.062,8.02030299,
15.062,8.020415593,
15,8.032815948,
15.062,8.020157372,
15,8.020219533,
15.062,8.014736462,
15,8.007394866,
15,8.028973711,
15,8.011939793,
15,8.01150967,
15,8.011983129,
15,8.024311412,
15,8.021531054,
15,8.009241453,
15,8.025667239,
15,8.011093528,
15,7.995947389,
15,8.019005727,
15,8.027582024,
15,8.016290594,
15,8.012490328,
15,8.01555834,
15,8.014185122,
15,8.005580672,
15,8.011597074,
15,7.991449399,
15,8.01311483,
15,8.005762989,
15,8.003571524,
15,7.997498951,
15,8.000341878,
15,8.006385662,
15,7.997590791,
15,8.002109043,
15,7.99570017,
15,7.993215533,
15,7.993637935,
15,7.982896854,
15,7.993869464,
15,7.997965784,
15,7.994242802,
15,7.991451826,
15,7.998682583,
15,8.005797781,
15,8.004614937,
15,7.994411629,
15,8.004442381,
15,7.999834179,
15,8.007355412,
15,8.015591804,
15,8.011570121,
15,8.010141728,
15,8.028526358,
15,8.028342042,
15,8.00955286,
15,8.016936441,
15,8.001456109,
15,8.020954113,
15,7.991949617,
15,8.005476071,
15,7.991918257,
15,8.00308973,
15,7.995551729,
15,7.999064743,
15,8.007246325,
15,8.011216807,
15,8.017422477,
15,8.006227424,
15,8.005213735,
15,8.016497475,
15,8.009310579,
15,8.012734206,
14.937,8.007463203,
15,8.000787997,
15,7.985399435,
15,8.007875557,
15,7.997873345,
15,7.99955338,
15,7.989292023,
15,7.978067811,
14.937,7.992430178,
15,7.991239301,
15,7.984358173,
14.937,7.990818738,
15,7.985122309,
15,7.99675371,
15,7.990461441,
15,8.005331707,
15,7.990456021,
15,7.99203279,
15,7.996655472,
15,8.000264333,
15,7.994950117,
15,7.984575067,
15,8.003007226,
15,7.977903376,
15,7.992397929,
15,7.993824755,
15,7.993593937,
15,7.996552564,
15,7.991623387,
15,7.986097206,
15,7.996881813,
14.937,7.988010849,
15,7.981330576,
15,7.984060044,
15,7.985766584,
15,7.999763202,
14.937,8.009202133,
14.937,8.014688523,
15,7.996905509,
15,7.98787343,
15,7.98462427,
14.937,7.986741897,
15,7.980597213,
14.937,7.98921307,
14.937,7.987468324,
14.937,7.997675157,
15,7.992103733,
15,7.985238527,
15,7.980488413,
14.937,7.990231725,
14.937,7.983295752,
14.937,7.988308957,
14.937,7.974633479,
14.937,7.9827706,
14.937,7.991758947,
15,7.975830773,
15,7.987306796,
14.937,7.981136161,
15,7.971815584,
15,7.978428633,
14.937,7.968791513,
14.937,7.987749432,
15,7.970968821,
15,7.981599752,
15,7.989860601,
15,7.97571373,
14.937,7.984144531,
15,7.980489855,
15,7.962310114,
15,7.968202498,
14.937,7.975624707,
15,7.97071681,
14.937,7.959264695,
15,7.972243171,
14.937,7.964639548,
14.937,7.96646278,
15,7.946953871,
14.937,7.970893003,
15,7.962296625,
15,7.976074497,
15,7.965575892,
14.937,7.972542645,
15,7.977820737,
15,7.965924965,
15,7.96901729,
15,7.958659095,
15,7.977015573,
15,7.968496592,
15,7.973313519,
15,7.97997217,
15,7.964334585,
15,7.969830891,
15,7.963460626,
15,7.982409467,
15,7.960268155,
15,7.957784229,
15,7.965525675,
15,7.972351802,
15,7.959449513,
15,7.941746956,
15,7.957679637,
15,7.945986795,
15,7.965951133,
15,7.957366589,
15,7.954213325,
15,7.951323822,
15,7.960129313,
15,7.967233201,
15,7.971156574,
15,7.976511314,
15,7.98151621,
15,7.959257803,
15,7.978336965,
15,7.965320375,
15,7.979419132,
15,7.977141509,
15,7.982070698,
15,7.986029101,
15,7.981424507,
15,7.982736732,
15,7.978881822,
15,7.963542903,
15.062,7.970782532,
15,7.984284511,
15,7.986124115,
15,7.986151276,
15,7.983019812,
15,7.985201795,
15,7.987603256,
15,7.994707312,
15,7.968094754,
15,7.977276559,
15,7.970634283,
15.062,7.982202828,
15.062,7.980069196,
15.062,7.988701345,
15,8.013343657,
15.062,8.008076037,
15.062,7.99891696,
15,7.998510746,
15.062,7.973237718,
15.062,7.967824202,
15.062,7.976920226,
15.062,7.968233013,
15.062,7.979267988,
15.062,7.965661564,
15.062,7.978119858,
15.062,7.982898565,
15.062,7.981684167,
15.062,7.968134093,
15.062,7.984851101,
15.062,7.980976874,
15.062,7.971762829,
15.062,7.980811229,
15.062,7.9747198,
15.062,7.966566542,
15.062,7.967535177,
15.062,7.957283239,
15.062,7.978301802,
15.062,7.962334046,
15.062,7.959939934,
15.062,7.964024519,
15.062,7.957292918,
15.062,7.969585707,
15.062,7.968912211,
15.062,7.960240936,
15.062,7.974273077,
15.062,8.003195866,
15.062,8.003575805,
15.062,8.007026265,
15.062,7.994335639,
15.062,8.001776088,
15.062,8.016266054,
15.062,8.000513728,
15.062,8.005026106,
15.062,8.007406579,
15.062,8.010527915,
15.062,8.000644608,
15.125,7.997934477,
15.062,8.008225463,
15.062,8.012420404,
15.062,8.006235272,
15.062,7.988808771,
15.062,8.02230849,
15.062,8.01162209,
15.062,8.014310079,
15.125,8.009899508,
15.062,8.022171078,
15.125,8.011473282,
15.125,8.015044449,
15.125,8.006339047,
15.062,8.015392094,
15.125,8.001344594,
15.125,8.005028716,
15.125,7.984513307,
15.062,8.016125955,
15.125,8.02181722,
15.125,8.022211321,
15.125,8.004032012,
15.125,8.010641412,
15.125,7.998513247,
15.125,7.991947262,
15.125,7.996663173,
15.125,8.00401301,
15.125,8.010108454,
15.125,8.000089557,
15.125,7.995674381,
15.125,8.004252594,
15.125,8.006085268,
15.125,8.006754618,
15.125,8.010019235,
15.125,8.015418841,
15.125,8.001822484,
15.125,8.009845564,
15.125,8.007828131,
15.125,8.010977473,
15.125,8.018213812,
15.125,8.001742747,
15.125,8.004165378,
15.125,8.015113513,
15.125,7.998402088,
15.125,7.992897572,
15.125,8.005187996,
15.125,7.994438033,
15.125,7.994224685,
15.125,7.997828112,
15.125,7.99355633,
15.125,8.01086515,
15.125,7.999064914,
15.125,7.996455663,
15.125,7.994084575,
